id,base_url_doc
base.module_sale,/documentation/16.0/applications/sales.html
base.module_sale_management,/documentation/16.0/applications/sales.html
base.module_website,/documentation/16.0/applications/websites/website.html
base.module_website_sale,/documentation/16.0/applications/website.html
base.module_stock,/documentation/16.0/applications/inventory_and_mrp.html
base.module_mrp,/documentation/16.0/applications/inventory_and_mrp.html
base.module_purchase,/documentation/16.0/applications/inventory_and_mrp.html
base.module_account,/documentation/16.0/applications/finance.html
base.module_hr,/documentation/16.0/applications/hr.html
base.module_crm,/documentation/16.0/applications/sales.html
base.module_base,/documentation/16.0/applications/general.html
